,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
AED,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,3.6725
AFN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,71.5446
ALL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,95.5806
AMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,404.1604
ANG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.79
AOA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,835.7868
ARS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,845.75
AUD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.5282
AWG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.79
AZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.701
BAM,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.7964
BBD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2.0
BDT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,109.7615
BGN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.7966000000000002
BHD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.376
BIF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2852.4904
BMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.0
BND,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.3402
BOB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,6.9236
BRL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,4.9495000000000005
BSD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.0
BTN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,82.8509
BWP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,13.6784
BYN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,3.2521
BZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2.0
CAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.3537
CDF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2744.7541
CHF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.883
CLP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,980.4933
CNY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,7.2039
COP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,3945.8267
CRC,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,513.9272
CUP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,24.0
CVE,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,101.2765
CZK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,23.2841
DJF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,177.721
DKK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,6.8471
DOP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,58.7893
DZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,134.5941
EGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,49.0153
ERN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,15.0
ETB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,56.8669
EUR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.9185000000000001
FJD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2.247
FKP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
FOK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,6.8473
GBP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
GEL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,2.6572
GGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
GHS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,12.8635
GIP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
GMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,66.7468
GNF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,8588.02
GTQ,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,7.813
GYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,209.6814
HKD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,7.8241
HNL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,24.7078
HRK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,6.9203
HTG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,132.6788
HUF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,361.51
IDR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,15712.6047
ILS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,3.5885
IMP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
INR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,82.8536
IQD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1310.313
IRR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,42109.6738
ISK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,136.9506
JEP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7857000000000001
JMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,155.5946
JOD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.7090000000000001
JPY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,149.3771
KES,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,143.0897
KGS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,89.3904
KHR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,4061.1864
KID,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1.5285000000000002
KMF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,451.8641
KRW,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,1332.6784
KWD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.30760000000000004
KYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,0.8333
KZT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709769601,"Thu, 07 Mar 2024 00:00:01 +0000",1709856001,"Fri, 08 Mar 2024 00:00:01 +0000",USD,448.1411
